Designator,Mid X,Mid Y,Rotation,Layer
C1,72.39,-101.74,270.0,top
C2,63.5,-101.74,270.0,top
C3,57.785,-104.015,90.0,top
C4,72.631,-73.66,180.0,top
C5,53.086,-89.421,270.0,top
C6,71.12,-80.772,90.0,top
C7,77.216,-72.136,180.0,top
C8,65.278,-72.898,0.0,top
D1,52.578,-45.72,270.0,top
J1,81.015,-103.965,90.0,top
J10,76.2,-38.1,180.0,top
J11,62.23,-38.1,180.0,top
J12,38.1,-57.15,270.0,top
J13,51.562,-74.696,90.0,top
J14,38.1,-72.39,270.0,top
J2,90.17,-87.71,90.0,top
J3,46.99,-110.6,0.0,top
J4,90.17,-72.45,90.0,top
J5,90.17,-100.35,90.0,top
J7,76.185,-52.07,270.0,top
J8,38.1,-97.79,270.0,top
J9,90.17,-60.98,90.0,top
P4,46.228,-40.894,0.0,bottom
Q1,80.8713,-84.4042,0.0,top
Q2,26.67,50.275,0.0,top
R1,71.12,-84.137,270.0,top
R10,76.2,-65.786,90.0,top
R11,40.132,-85.09,270.0,top
R12,36.068,-85.09,270.0,top
R2,66.929,-93.535,270.0,top
R3,64.008,-93.535,270.0,top
R4,83.693,-84.328,270.0,top
R5,77.216,-70.612,180.0,top
R6,71.12,-65.786,0.0,top
R7,58.674,-75.946,180.0,top
R8,58.674,-84.709,180.0,top
R9,58.674,-83.185,180.0,top
RLY1,57.67,-57.15,0.0,top
RV1,65.278,-76.962,0.0,top
TH1,83.82,-60.98,90.0,top
U1,67.945,-105.165,270.0,top
U2,65.278,-85.852,270.0,top
U3,52.07,-85.09,90.0,top
U4,72.39,-76.454,270.0,top
